Customer Name,Sales,Total Orders,Delivery Time
Sean Miller,25043.05,15,4.266666666666667
Tamara Chand,19052.218,12,5.916666666666667
Raymond Buch,15117.339,18,2.888888888888889
Tom Ashbrook,14595.62,10,3.9
Adrian Barton,14473.570999999998,20,4.45
Ken Lonsdale,14175.229000000001,29,4.482758620689655
Sanjit Chand,14142.333999999999,22,4.636363636363637
Hunter Lopez,12873.297999999999,11,5.2727272727272725
Sanjit Engle,12209.438000000002,19,4.421052631578948
Christopher Conant,12129.072000000002,11,3.4545454545454546
